code;pairCode;name;adult;
"V-20";;"Regulaèní ventil O20mm";"0";
"CLO50";;"Clonex 50 ml gel pro øízky";"0";
"MINI-S1";;"Skleník 57 x 38 x 17 cm";"0";
"STIM-1";;"Stimulax I 100g koøenovı stimulátor v prášku";"0";
"STIM-3";;"Stimulax III 130ml koøenovı stimulátor - gel";"0";
"ATAGRMIX50";;"Plagron Growmix 50l";"0";
"GRO-25";;"Grodan sadbovací kostka 25 X 25 X 40 mm";"0";
"GRO-75";;"Grodan sadbovací kostka 75×75×65 mm malá díra";"0";
"LIB";;"Libra Truhlík";"0";
"PAP-OCB";;"Papírky OCB Premium Slim";"1";
"12118/- E";"28";"Vaporizér Volcano Classic";"1";
"12118/GOL";"28";"Vaporizér Volcano Classic";"1";
"12118/ONY";"28";"Vaporizér Volcano Classic";"1";
"HYD-WF12";;"GH WaterFarm 12l";"0";
"SUB-PGR25";;"Plagron Growmix 25l";"0";
"STIN-WX";;"Stínidlo Waveflector XXL";"0";
"400OSR-NAV";;"Vıbojka Osram 400 W Plantastar dual";"0";
"NEB-MIN";;"Mininebler 250 ml/h";"0";
"ALGA250ML";"29";"BioBizz Alg-a-mic - zvyšuje odolnost rostliny";"0";
"BB-AAM05";"29";"BioBizz Alg-a-mic - zvyšuje odolnost rostliny";"0";
"BB-AAM1";"29";"BioBizz Alg-a-mic - zvyšuje odolnost rostliny";"0";
"PLA-R01";"30";"Plagron Power Roots";"0";
"PLA-R025";"30";"Plagron Power Roots";"0";
"PLA-R05";"30";"Plagron Power Roots";"0";
"PLA-R1";"30";"Plagron Power Roots";"0";
"PLA-R5";"30";"Plagron Power Roots";"0";
"ZVL-HUM";;"Zvlhèovaè  HUMI 6l Cornwall Electronics";"0";
"VYB-GIB150_FLOW";;"HPS vıbojka 150W GIB Flower Spectre";"0";
"VEN-TT200";;"Ventilátor TT 200 830/1040 m3/h";"0";
"NFT-GR1";;"Gro Tank NFT GT 100";"0";
"NFT-GR2";;"Gro Tank NFT GT 205 hydro systém";"0";
"NFT-GR3";;"Gro Tank NFT GT 424 hydroponickı systém";"0";
"NFT-GR4";;"Gro Tank NFT GT 604";"0";
"NFT-GR5";;"Gro Tank NFT GT 901";"0";
"NFT_MD1";;"Multi-duct basic 160cm x 86cm x 5cm (50l)";"0";
"NFT_MD2";;"Multi-duct plus 160cm x 86cm x 5cm (123l)";"0";
"NFT_MD3";;"Multi-duct Giant 160cm x 86cm x 5cm (123l)";"0";
"EBF-01";;"Ebb&Flow 100 x 75 cm";"0";
"EBF-02";;"Ebb&Flow 100 x 75 cm se šroubením";"0";
"EBF-03";;"Ebb&Flow 100 x 110 cm";"0";
"EBF-04";;"Ebb&Flow 100 x 110 cm se šroubením";"0";
"EBF-05";;"Ebb&Flow 200 x 100 cm";"0";
"EBF-06";;"Ebb&Flow 200 x 100 se šroubením";"0";
"EBF-08";;"Ebb&Flow 33 x 110 cm se šroubením";"0";
"EBF-09";;"Ebb&Flow 66 x 110 cm";"0";
"EBF-10";;"Ebb&Flow 66 x 110 cm se šroubením";"0";
"600SUN-HPS";;"Vıbojky  Sunmaster 600W HPS flower";"0";
"VEN-TT150";;"Ventilátor TT 150 467/552 m3/h";"0";
"CIGCO2";;"CO2 TABLETY NO MERCY - 60KS";"0";
"KS1-5";;"Koloidní støíbro 1l 5 ppm";"0";
"KS1-10";;"Koloidní støíbro 1l 10 ppm";"0";
"KS1-15";;"Koloidní støíbro 1l 15 ppm";"0";
"KS1-20";;"Koloidní støíbro 1l 20 ppm";"0";
"KS1-30";;"Koloidní støíbro 1l 30 ppm";"0";
"KS1-40";;"Koloidní støíbro 1l 40 ppm";"0";
"KS05-5";;"Koloidní støíbro 0,5l 5 ppm";"0";
"KS05-15";;"Koloidní støíbro 0,5l 15 ppm";"0";
"KS05-20";;"Koloidní støíbro 0,5l 20 ppm";"0";
"KS05-30";;"Koloidní støíbro 0,5l 30 ppm";"0";
"KS05-40";;"Koloidní støíbro 0,5l 40 ppm";"0";
"KSS25-10";;"Koloidní støíbro spray 25ml 10 ppm";"0";
"KSS25-20";;"Koloidní støíbro spray 25ml 20 ppm";"0";
"KSS25-30";;"Koloidní støíbro spray 25ml 30 ppm";"0";
"KSS25-40";;"Koloidní støíbro spray 25ml 40 ppm";"0";
"KSS1-10";;"Koloidní støíbro spray 100ml 10 ppm";"0";
"KSS1-20";;"Koloidní støíbro spray 100ml 20 ppm";"0";
"KSS1-30";;"Koloidní støíbro spray 100ml 30 ppm";"0";
"KSS1-40";;"Koloidní støíbro spray 100ml 40 ppm";"0";
"KSS2-10";;"Koloidní støíbro spray 200ml 10 ppm";"0";
"KSS2-20";;"Koloidní støíbro spray 200ml 20 ppm";"0";
"KSS2-30";;"Koloidní støíbro spray 200ml 30 ppm";"0";
"KSS2-40";;"Koloidní støíbro spray 200ml 40 ppm";"0";
"ROH-MA";;"Grodanová roho Master 1000x150x75 mm";"0";
"JIFF7";;"Jiffy sadbovací rašelinová tableta";"0";
"PLA-SB";;"Plagron Seedbox pro naklíèení semínek";"0";
"PLA-GBAB";;"Plagron Alga Top Grow Box 1,4L";"0";
"PLA-GBTS";;"Plagron Terra Top Grow Box 1,4L";"0";
"PRE-GIB100";;"Elektromagnetickı pøedøadník GIB PRO-V-T 100W";"0";
"MET-AB1";"31";"Metrop AminoXtrem";"0";
"MET-AB5";"31";"Metrop AminoXtrem";"0";
"MET-AR1";"32";"Metrop Root+";"0";
"MET-AR5";"32";"Metrop Root+";"0";
"MET-MR21";"33";"Metrop MR2";"0";
"MET-MR25";"33";"Metrop MR2";"0";
"MET-MAM1";"34";"Metrop MAM 8";"0";
"MET-MAM5";"34";"Metrop MAM 8";"0";
"12772/0-5";"35";"Hesi Bloom Complex hnojivo kvìt";"0";
"12772/10L";"35";"Hesi Bloom Complex hnojivo kvìt";"0";
"12772/1L";"35";"Hesi Bloom Complex hnojivo kvìt";"0";
"HES-BLCX22";"35";"Hesi Bloom Complex hnojivo kvìt";"0";
"HES-BLCX6";"35";"Hesi Bloom Complex hnojivo kvìt";"0";
"HES-CO1";"36";"Hesi Coco - hnojivo pro pìstování v kokosu";"0";
"HES-CO10";"36";"Hesi Coco - hnojivo pro pìstování v kokosu";"0";
"HES-CO20";"36";"Hesi Coco - hnojivo pro pìstování v kokosu";"0";
"HES-CO5";"36";"Hesi Coco - hnojivo pro pìstování v kokosu";"0";
"GRO-40";;"Grodan sadbovací kostka 40 X 40 X 40 mm";"0";
"GRO-100";;"Grodan sadbovací kostka 100×100×65 mm malá díra";"0";
"GRO-SADB";;"Sadbovaè pro 80 sadbovacích kostièek";"0";
"21677";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-102";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-127";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-160";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-203";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-254";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"SON-315";"37";"Sonoflex - odhluènìné tvarovatelné potrubí";"0";
"13012/152";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-10210";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-12710";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-160CEL";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-20310";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-25410";"38";"Sonoflex - celá balení po 10 m";"0";
"SON-31510";"38";"Sonoflex - celá balení po 10 m";"0";
"VEN-KL";;"Ventilátor s klipsnou Profan 15W";"0";
"VEN-PK1";;"Ventilátor Prima Klima PK125 MES 2 rychlosti 360m3";"0";
"VEN-PK3";;"Ventilátor Prima Klima PK125 s regulací 420m3";"0";
"HBX-DSS";;"Secret Jardin Dark street S60 R4.0 60 X 60 X 158 cm";"0";
"HBX-DSM";;"Secret Jardin Dark street 90 R4.0 90 X 90 X 178 cm";"0";
"HBX-DSL";;"Secret Jardin Dark street 120  R4.0 120 X 120 X 195 cm";"0";
"HBX-DX4";;"Dark Room 120 R3.0 120 X 120 X 200cm";"0";
"HBX-DX5";;"Dark Room 150 R4.0 150 X 150 X 217cm";"0";
"HBX-DX6";;"Dark Room 90 R3.0 90 X 90 X 185cm";"0";
"HBX-DX7";;"Dark Room 240 Wide R3.0 240 X 120 X 200cm";"0";
"HBX-DX8";;"Dark Room 300 R3.0 300 X 300 X 235cm";"0";
"HBX-DX9";;"Dark Room 300W R4.0 297 X 150 X 217cm";"0";
"HBX-DX10";;"Dark Room 60 R3.0 60 X 60 X 170cm";"0";
"KL1";;"Kleaner kapky 30ml";"0";
"LAB2";;"Odmìrnı dbánek 50 ml";"0";
"LAB3";;"Odmìrnı dbánek 100 ml";"0";
"LAB4";;"Odmìrnı dbánek 250 ml";"0";
"LAB5";;"Odmìrnı dbánek 500 ml";"0";
"LAB6";;"Odmìrnı dbánek 1000 ml";"0";
"LAB-PP10";;"Pipeta 10ml";"0";
"VEN-RCK160";;"Ventilátor Ruck RK 160 460 m3/h";"0";
"VEN-RCK250";;"Ventilátor Ruck RK 250 830 m3/h";"0";
"BB LM 50";;"Biobizz Lightmix 50l";"0";
"250PHI-SON";;"Vıbojka Philips SON-T PIA PLUS  250 W";"0";
"ESS-EC";;"EC metr Essential mìøící pøístroj";"0";
"ESS-PH";;"Mìøící pøístroj Essential pH metr";"0";
"BB-STP";;"Biobizz Starters Pack bio startovací sada hnojiv a doplòkù";"0";
"F-DIA10";;"Diamantová folie ECO 1,2 x 10m";"0";
"KIT 1";;"Komplet Amatér kit";"0";
"EH01";;"Spínací digitální hodiny";"0";
"EH02";;"Mechanické spínací hodiny";"0";
"PH01";;"Pøepìová ochrana PH01";"0";
"GH-DN1";;"GHE T.A. Humic 1l";"0";
"HBX-DSXL";;"Secret Jardin Dark Street 150 R4,0 - 150 X 77 X 200 cm";"0";
"BB LM 20";;"Biobizz Lightmix 20l";"0";
"BB ALL 20";;"Biobizz Allmix 20l";"0";
"SUB-PRM50";;"Plagron Royalmix 50l";"0";
"SUB-CTP50";;"Canna Terra Professional 50 l";"0";
"SUB-CCPP50";;"Canna Coco Professional Plus 50l";"0";
"KONF 420";;"Koncovı filtr 420 m3/hod Home 150mm";"0";
"PBM-50";;"Plagron Batmix 50l";"0";
"GRO-100VD";;"Grodan sadbovací kostka 100x100x65 mm velká díra";"0";
"WILMA 10";;"Atami Wilma SW 10 - 6L 120 X 60 X 20 CM";"0";
"KER 50";;"Keramzit Kera 50l";"0";
"GRO-75VD";;"Grodan sadbovací kostka 75x75x65 velká díra";"0";
"PER 125";;"PREMIUM PERLIT GRAMOFLOR - BALENÍ 100L";"0";
"400-SMD";;"Vıbojka Sunmaster Full Nova 400W Dual";"0";
"AQUAKING 5L";;"Postøikovaè ruèní 5L";"0";
"1536";;"Netafim kapilára 5 mm";"0";
"1537";;"Jehla na kapiláru 5mm";"0";
"VYB-GIB150_GROW";;"Vıbojka 150W GIB Growth Spectre rùst";"0";
"250-OP";;"Vıbojka Osram Plantastar 250 W dual";"0";
"F-O";;"Folie Orca 1,37x10m";"0";
"ZAT16";;"Zátka 16mm uzávìr hadice";"0";
"ZAT20";;"Zátka 20mm uzávìr hadice";"0";
"LAB-ST20";;"støíkaèka 20ml plast";"0";
"PUJC-VOLC";;"Vaporizér Volcano";"1";
"BB WH 40";;"Biobizz worm humus 40L";"0";
"14401/1LG";"39";"Sure Air - vıkaèka";"0";
"14401/1LL";"39";"Sure Air - vıkaèka";"0";
"14401/250MLS";"39";"Sure Air - vıkaèka";"0";
"14401/30MLS";"39";"Sure Air - vıkaèka";"0";
"14401/3LG";"39";"Sure Air - vıkaèka";"0";
"14401/5LL";"39";"Sure Air - vıkaèka";"0";
"ATA-RTB01";"40";"Atami  Rootbastic - koøenovı stimulátor";"0";
"ATA-RTB025";"40";"Atami  Rootbastic - koøenovı stimulátor";"0";
"ATA-RTB05";"40";"Atami  Rootbastic - koøenovı stimulátor";"0";
"ATA-RTB125";"40";"Atami  Rootbastic - koøenovı stimulátor";"0";
"ROOTBASTIC 50ML";"40";"Atami  Rootbastic - koøenovı stimulátor";"0";
"400-VSMH";;"Vıbojka Sunmaster 400W MH";"0";
"VYB-PH250R";;"Philips HPI-T 250W rùst";"0";
"VEN-TT100";;"Ventilator TT 100 145/187 m3";"0";
"14509/250";"41";"Jungle Indabox sloka A";"0";
"22219";"41";"Jungle Indabox sloka A";"0";
"22282";"41";"Jungle Indabox sloka A";"0";
"JUNGLE A";"41";"Jungle Indabox sloka A";"0";
"JUNGLE A5L";"41";"Jungle Indabox sloka A";"0";
"14512/250";"42";"Jungle Indabox sloka B";"0";
"22222";"42";"Jungle Indabox sloka B";"0";
"22285";"42";"Jungle Indabox sloka B";"0";
"JUNGLE B";"42";"Jungle Indabox sloka B";"0";
"JUNGLE B 5L";"42";"Jungle Indabox sloka B";"0";
"14515/250";"43";"Jungle Indabox sloka M";"0";
"22225";"43";"Jungle Indabox sloka M";"0";
"22288";"43";"Jungle Indabox sloka M";"0";
"JUNGLE M";"43";"Jungle Indabox sloka M";"0";
"JUNGLE M5L";"43";"Jungle Indabox sloka M";"0";
"ZAZP-30";;"Zaehlovací pytel 30 X 43cm";"0";
"ZAZP-45";;"Zaehlovací pytel 45x56cm";"0";
"DIG.TEP";;"Digitální teplomìr - vlhkomìr Medium";"0";
"LAB-PP25";;"Pipeta 25 ml";"0";
"1670";;"Adapter black spoj kapilára";"0";
"PK 11";;"Plastovı kryt na kvìtník 11l";"0";
"MINI-S3";;"Skleník 38 x 25 x 19 cm";"0";
"400-SMHPS";;"Vıbojka Sunmaster 400W HPS";"0";
"WEBIT 120";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 120W";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 150";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 240W";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 300W";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 60";"44";"WebIT- podpùrná sí do stanù";"0";
"WEBIT 90";"44";"WebIT- podpùrná sí do stanù";"0";
"BB CO 50";;"Biobizz Cocomix 50l";"0";
"TEK-H11";;"Kvìtináè 11x11x11cm síovanı hydrokošíèek";"0";
"SKL-1";;"Sklenìná dımka zdobená èervená";"1";
"SKL-2";;"Sklenìná dımka zdobená modrá";"1";
"SKL-3";;"Sklenìná dımka zdobená oranová";"0";
"SKL-4";;"Sklenìná dımka èirá saxofon";"1";
"SKL-5";;"Sklenìná dımka èirá zatoèená";"1";
"BB-TPH";;"Biobizz Try Pack Hydro 3 x 250 ml";"0";
"BB-TPO";;"Biobizz Try Pack Outdoor 3 x 250 ml";"0";
"BB-TPS";;"Biobizz Try Pack Stimulant 3 x 250 ml";"0";
"MIL-MARPH";;"Mìøící pøístroj Martini Milwaukee pH 55";"0";
"MIL-MAREC";;"Martini Milwaukee EC metr-mìøící pøístroj";"0";
"KONF 780H";;"Koncovı filtr 780 m3/hod Home edition 150mm";"0";
"KER-KR5";;"Keramzit Kera 5l";"0";
"KER-KR20";;"Keramzit Kera 20l";"0";
"LP100";;"LimPuro 100ml èistiè na bonga";"0";
"BB-RJ025";"45";"Biobizz Root Juice - biololgickı koøenovı stimulátor";"0";
"BB-RJ1";"45";"Biobizz Root Juice - biololgickı koøenovı stimulátor";"0";
"BB-RJ5";"45";"Biobizz Root Juice - biololgickı koøenovı stimulátor";"0";
"ROOT JUICE 500";"45";"Biobizz Root Juice - biololgickı koøenovı stimulátor";"0";
"AB";;"Èerpadlo Neptune 600l/hod";"0";
"AC";;"Èerpadlo Neptune 800l/hod";"0";
"AD";;"Èerpadlo Neptune 1000l/hod";"0";
"ATA-SAB1";"46";"Atami B'cuzz Soil A+B - hnojivo do substrátù";"0";
"ATA-SAB10";"46";"Atami B'cuzz Soil A+B - hnojivo do substrátù";"0";
"ATA-SAB5";"46";"Atami B'cuzz Soil A+B - hnojivo do substrátù";"0";
"15613/100";"47";"Atazymové multienzymy a vitamíny";"0";
"ATA-ATZ1";"47";"Atazymové multienzymy a vitamíny";"0";
"ATA-ATZ10";"47";"Atazymové multienzymy a vitamíny";"0";
"ATA-ATZ5";"47";"Atazymové multienzymy a vitamíny";"0";
"KS05-10";;"Koloidní støíbro 0,5l 10 ppm";"0";
"LEAFTRIMER";;"Støihaè Bowl trimmer 14"" - manuální pohon";"0";
"MES2";;"Pùlmìsíc (ohyb rostlin) - vìtší 37mm";"0";
"PLA-HAB1";"48";"Plagron Hydro A+B - hnojivo pro hydro";"0";
"PLA-HAB10";"48";"Plagron Hydro A+B - hnojivo pro hydro";"0";
"PLA-HAB5";"48";"Plagron Hydro A+B - hnojivo pro hydro";"0";
"PLA-CAB5";;"Plagron Cocos A+B 5l hnojivo pro kokos";"0";
"PLA-CAB10";;"Plagron Cocos A+B 10l hnojivo pro kokos";"0";
"20965";"49";"Plagron PK 13-14 - hnojivo pro kvìt";"0";
"PK 13-14 0-5L";"49";"Plagron PK 13-14 - hnojivo pro kvìt";"0";
"PLA-PK1";"49";"Plagron PK 13-14 - hnojivo pro kvìt";"0";
"PLA-PK5";"49";"Plagron PK 13-14 - hnojivo pro kvìt";"0";
"PLA-RE05";"50";"Plagron Fish Force (Rybí Emulze)";"0";
"PLA-RE1";"50";"Plagron Fish Force (Rybí Emulze)";"0";
"PLA-RE5";"50";"Plagron Fish Force (Rybí Emulze)";"0";
"PLA-SU01";"51";"Plagron Start Up";"0";
